@relation "jmonkeyengine"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.NullPointerException,java.lang.RuntimeException,java.lang.IllegalStateException,java.lang.IllegalArgumentException,java.lang.UnsupportedOperationException,com.jme3.asset.AssetNotFoundException,com.jme3.asset.AssetLoadException,java.io.IOException,com.jme3.scene.plugins.blender.file.BlenderFileException,java.lang.AssertionError,java.lang.Exception,com.jme3.renderer.RendererException,org.xml.sax.SAXException,com.jme3.material.plugins.MatParseException,com.jme3.network.kernel.KernelException}

@data
226,"CatchClause","java.lang.CloneNotSupportedException",false,"result weights length poses ","int com.jme3.animation.Pose com.jme3.animation.PoseTrack.PoseFrame float com.jme3.animation.Pose java.lang.Object ","NULL ","clone ","","",java.lang.AssertionError
227,"CatchClause","java.lang.CloneNotSupportedException",false,"result length frames times ","int com.jme3.animation.PoseTrack.PoseFrame com.jme3.animation.PoseTrack float com.jme3.animation.PoseTrack.PoseFrame java.lang.Object ","NULL ","clone ","","",java.lang.AssertionError
228,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object ","","","","",java.lang.RuntimeException
229,"IfStatement","null",true,"length times ","int float ","","","","",java.lang.RuntimeException
230,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object com.jme3.animation.BoneTrack ","","","","",java.lang.RuntimeException
231,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
232,"IfStatement","null",true,"name ","java.lang.String ","NULL ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
233,"IfStatement","null",true,"blend time ","float ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
234,"IfStatement","null",false,"anim ","com.jme3.animation.Animation ","NULL ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
235,"IfStatement","null",true,"length times ","int float ","","","","",java.lang.RuntimeException
236,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object com.jme3.animation.SpatialTrack ","","","","",java.lang.RuntimeException
237,"CatchClause","java.lang.CloneNotSupportedException",false,"result track tracks ","com.jme3.animation.Animation com.jme3.animation.Track com.jme3.util.SafeArrayList java.lang.Object boolean ","","add clone ","","",java.lang.AssertionError
238,"CatchClause","java.lang.CloneNotSupportedException",true,"result track tracks spat ","com.jme3.animation.Animation com.jme3.animation.Track com.jme3.util.SafeArrayList boolean com.jme3.scene.Spatial com.jme3.animation.ClonableTrack java.lang.Object ","","add cloneForSpatial ","","",java.lang.AssertionError
239,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object ","","","","",java.lang.RuntimeException
240,"CatchClause","java.lang.CloneNotSupportedException",false,"result length offsets indices ","int com.jme3.math.Vector3f com.jme3.animation.Pose int com.jme3.math.Vector3f java.lang.Object ","NULL ","clone ","","",java.lang.AssertionError
241,"CatchClause","java.lang.CloneNotSupportedException",false,"clone ","com.jme3.animation.Skeleton java.lang.Object ","","","","",java.lang.AssertionError
242,"IfStatement","null",true,"anim animation map ","com.jme3.animation.Animation java.util.HashMap java.lang.String boolean ","","getName containsKey ","","",java.lang.IllegalArgumentException
243,"IfStatement","null",true,"listeners listener ","java.util.ArrayList com.jme3.animation.AnimEventListener boolean ","","contains ","","",java.lang.IllegalArgumentException
244,"IfStatement","null",true,"listeners listener ","java.util.ArrayList com.jme3.animation.AnimEventListener boolean ","","remove ","","",java.lang.IllegalArgumentException
245,"IfStatement","null",false,"","com.jme3.animation.Animation ","NULL ","","","",java.lang.IllegalArgumentException
246,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object ","","","","",java.lang.RuntimeException
247,"IfStatement","null",false,"gui node ","com.jme3.scene.Node ","NULL ","","","",java.lang.RuntimeException
248,"IfStatement","null",true,"asset manager ","com.jme3.asset.AssetManager ","NULL ","","","",java.lang.IllegalStateException
249,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
250,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
251,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
252,"IfStatement","null",false,"spatial ","com.jme3.scene.Spatial ","NULL ","","","",java.lang.IllegalArgumentException
253,"IfStatement","null",false,"colon ","java.lang.String boolean ","","equals ","IOException ","java.io.IOException ",java.io.IOException
254,"IfStatement","null",false,"cmd ","java.lang.String boolean ","","trim startsWith ","IOException ","java.io.IOException ",java.io.IOException
255,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object com.jme3.asset.AssetKey ","","","","",java.lang.AssertionError
256,"IfStatement","null",false,"already opened ","boolean ","","","","",java.lang.IllegalStateException
257,"IfStatement","null",false,"local ","com.jme3.asset.ImplHandler.ImplThreadLocal ","NULL ","","","",com.jme3.asset.AssetLoadException
258,"CatchClause","java.lang.InstantiationException",true,"cache class to cache map cache class ","java.lang.Class java.util.concurrent.ConcurrentHashMap com.jme3.asset.cache.AssetCache ","","newInstance put ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
259,"CatchClause","java.lang.IllegalAccessException",true,"cache class to cache map cache class ","java.lang.Class java.util.concurrent.ConcurrentHashMap com.jme3.asset.cache.AssetCache ","","newInstance put ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
260,"CatchClause","java.lang.InstantiationException",true,"proc class proc class to proc map ","java.lang.Class java.util.concurrent.ConcurrentHashMap com.jme3.asset.AssetProcessor ","","newInstance put ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
261,"CatchClause","java.lang.IllegalAccessException",true,"proc class proc class to proc map ","java.lang.Class java.util.concurrent.ConcurrentHashMap com.jme3.asset.AssetProcessor ","","newInstance put ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
262,"IfStatement","null",false,"cache ","com.jme3.asset.cache.AssetCache ","NULL ","","","",java.lang.IllegalArgumentException
263,"IfStatement","null",false,"cache ","com.jme3.asset.cache.AssetCache ","NULL ","","","",java.lang.IllegalArgumentException
264,"IfStatement","null",false,"cache ","com.jme3.asset.cache.AssetCache ","NULL ","","","",java.lang.IllegalArgumentException
265,"CatchClause","java.io.IOException",true,"loader key handler info obj ","java.lang.Object com.jme3.asset.AssetLoader com.jme3.asset.AssetInfo com.jme3.asset.AssetKey com.jme3.asset.ImplHandler void ","","establishParentKey load ","","com.jme3.asset.AssetLoadException ",com.jme3.asset.AssetLoadException
266,"IfStatement","null",false,"obj ","java.lang.Object ","NULL ","","","com.jme3.asset.AssetLoadException ",com.jme3.asset.AssetLoadException
267,"IfStatement","null",true,"proc ","com.jme3.asset.AssetProcessor ","NULL ","","","java.lang.IllegalStateException ",java.lang.IllegalStateException
268,"IfStatement","null",true,"cache obj clone ","com.jme3.asset.cache.AssetCache ","NULL ","","","java.lang.IllegalStateException ",java.lang.IllegalStateException
269,"IfStatement","null",true,"key ","com.jme3.asset.AssetKey ","NULL ","","","",java.lang.IllegalArgumentException
270,"IfStatement","null",true,"key ","com.jme3.asset.AssetKey ","NULL ","","","com.jme3.asset.AssetNotFoundException ",java.lang.IllegalArgumentException
271,"IfStatement","null",false,"info ","com.jme3.asset.AssetInfo ","NULL ","","","java.lang.IllegalArgumentException ",com.jme3.asset.AssetNotFoundException
272,"IfStatement","null",false,"load stack ","java.util.ArrayList boolean ","","isEmpty ","","",java.lang.UnsupportedOperationException
273,"IfStatement","null",false,"load stack ","java.util.ArrayList boolean ","","isEmpty ","","",java.lang.UnsupportedOperationException
274,"IfStatement","null",true,"high freq volume ","float ","","","","",java.lang.IllegalArgumentException
275,"IfStatement","null",true,"volume ","float ","","","","",java.lang.IllegalArgumentException
276,"IfStatement","null",false,"","int ","","","","",java.lang.IllegalStateException
277,"IfStatement","null",false,"result ","com.jme3.audio.AudioRenderer ","NULL ","","","",java.lang.IllegalStateException
278,"IfStatement","null",false,"data positional ","com.jme3.audio.AudioData boolean int ","","getChannels ","","",java.lang.IllegalStateException
279,"IfStatement","null",false,"data positional ","com.jme3.audio.AudioData boolean int ","","getChannels ","","",java.lang.IllegalStateException
280,"IfStatement","null",false,"status stopped ","com.jme3.audio.AudioSource.Status com.jme3.audio.AudioSource ","","","","",java.lang.IllegalStateException
281,"IfStatement","null",false,"data ","com.jme3.audio.AudioData ","NULL ","","","",java.lang.IllegalStateException
282,"IfStatement","null",true,"pitch ","float ","2.0f 0.5f ","","","",java.lang.IllegalArgumentException
283,"IfStatement","null",true,"volume ","float ","","","","",java.lang.IllegalArgumentException
284,"IfStatement","null",true,"time offset ","float ","","","","",java.lang.IllegalArgumentException
285,"IfStatement","null",true,"max distance ","float ","","","","",java.lang.IllegalArgumentException
286,"IfStatement","null",true,"ref distance ","float ","","","","",java.lang.IllegalArgumentException
287,"IfStatement","null",true,"","java.io.InputStream int ","NULL ","","","",java.lang.IllegalStateException
288,"MethodDeclaration","null",false,"","","","","","",java.lang.RuntimeException
289,"MethodDeclaration","null",false,"","","","","","",java.lang.RuntimeException
290,"IfStatement","null",false,"open ","java.io.InputStream boolean ","NULL ","","","",java.lang.RuntimeException
291,"IfStatement","null",false,"","java.io.InputStream com.jme3.audio.SeekableStream ","","","","",java.lang.IllegalStateException
292,"IfStatement","null",true,"length ","int float ","","","","",java.lang.IllegalArgumentException
293,"IfStatement","null",false,"decoder thread ","java.lang.Thread boolean ","","isAlive ","","",java.lang.IllegalStateException
294,"IfStatement","null",false,"decoder thread terminated ","java.lang.Thread.State java.lang.Thread ","","getState ","","",java.lang.IllegalStateException
295,"IfStatement","null",true,"","com.jme3.audio.Filter com.jme3.audio.LowPassFilter ","","","","",java.lang.UnsupportedOperationException
296,"IfStatement","null",true,"active stream ","boolean com.jme3.audio.AudioStream ","","isEOF ","","java.lang.IllegalStateException ",java.lang.AssertionError
297,"IfStatement","null",false,"active ","boolean ","","","","java.lang.AssertionError ",java.lang.IllegalStateException
298,"IfStatement","null",true,"active stream ","boolean com.jme3.audio.AudioStream ","","isEOF ","","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.AssertionError
299,"IfStatement","null",false,"active ","boolean ","","","","java.lang.AssertionError java.lang.IllegalStateException ",java.lang.IllegalStateException
300,"IfStatement","null",false,"success ","boolean ","","","","java.lang.AssertionError java.lang.IllegalStateException ",java.lang.IllegalStateException
301,"IfStatement","null",true,"data ","com.jme3.audio.AudioData com.jme3.audio.AudioStream ","","","","",java.lang.UnsupportedOperationException
302,"SwitchStatement","null",true,"oal status ","int ","","","","",java.lang.UnsupportedOperationException
303,"IfStatement","null",false,"paused oal status ","com.jme3.audio.AudioSource.Status ","","","","java.lang.AssertionError java.lang.AssertionError ",java.lang.AssertionError
304,"IfStatement","null",false,"playing stopped oal status jme status ","com.jme3.audio.AudioSource.Status ","","","","java.lang.AssertionError java.lang.AssertionError ",java.lang.AssertionError
305,"IfStatement","null",false,"stopped oal status ","com.jme3.audio.AudioSource.Status ","","","","java.lang.AssertionError java.lang.AssertionError ",java.lang.AssertionError
306,"IfStatement","null",false,"playing oal status jme status ","com.jme3.audio.AudioSource.Status ","","","","",java.lang.AssertionError
307,"IfStatement","null",false,"support pause device ","boolean ","","","","",java.lang.UnsupportedOperationException
308,"IfStatement","null",false,"support pause device ","boolean ","","","","",java.lang.UnsupportedOperationException
309,"IfStatement","null",true,"src ","com.jme3.audio.AudioSource com.jme3.audio.AudioData com.jme3.audio.AudioStream ","","getAudioData ","","",java.lang.UnsupportedOperationException
310,"MethodDeclaration","null",true,"","com.jme3.audio.AudioData int ","","getChannels ","","",java.lang.UnsupportedOperationException
311,"IfStatement","null",false,"err al_no_error ","int ","","","","",java.lang.RuntimeException
312,"IfStatement","null",true,"x extent ","float ","","","","",java.lang.IllegalArgumentException
313,"IfStatement","null",true,"y extent ","float ","","","","",java.lang.IllegalArgumentException
314,"IfStatement","null",true,"z extent ","float ","","","","",java.lang.IllegalArgumentException
315,"CatchClause","java.lang.CloneNotSupportedException",false,"center clone ","com.jme3.bounding.BoundingVolume com.jme3.math.Vector3f java.lang.Object ","","clone ","","",java.lang.AssertionError
316,"IfStatement","null",true,"camera name cameras ","java.lang.String java.util.Map boolean ","","containsKey ","","",java.lang.IllegalArgumentException
317,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
318,"IfStatement","null",false,"model ","com.jme3.scene.Spatial ","NULL ","","","",java.lang.UnsupportedOperationException
319,"IfStatement","null",true,"max tris per node ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
320,"IfStatement","null",true,"mesh ","com.jme3.scene.Mesh ","NULL ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
321,"IfStatement","null",false,"v buffer ","com.jme3.scene.VertexBuffer ","NULL ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
322,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
323,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object ","","","","",java.lang.RuntimeException
324,"SwitchStatement","null",false,"mesh type ","com.jme3.effect.ParticleMesh.Type ","","","","",java.lang.IllegalStateException
325,"SwitchStatement","null",false,"mesh type ","com.jme3.effect.ParticleMesh.Type ","","","","",java.lang.IllegalStateException
326,"SwitchStatement","null",true,"mesh type ","com.jme3.effect.ParticleMesh.Type ","","","","",java.lang.IllegalStateException
327,"SwitchStatement","null",false,"mesh type ","com.jme3.effect.ParticleMesh.Type ","","","IOException ","",java.lang.IllegalStateException
328,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object com.jme3.effect.influencers.ParticleInfluencer ","","","","",java.lang.AssertionError
329,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object ","","","","",java.lang.AssertionError
330,"CatchClause","java.lang.CloneNotSupportedException",false,"initial velocity clone ","com.jme3.effect.influencers.DefaultParticleInfluencer com.jme3.math.Vector3f java.lang.Object ","","clone ","","",java.lang.AssertionError
331,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object ","","","","",java.lang.AssertionError
332,"IfStatement","null",true,"center ","com.jme3.math.Vector3f ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
333,"IfStatement","null",true,"radius ","float ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
334,"CatchClause","java.lang.CloneNotSupportedException",false,"center clone ","com.jme3.effect.shapes.EmitterSphereShape com.jme3.math.Vector3f java.lang.Object ","","clone ","","",java.lang.AssertionError
335,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object ","","","","",java.lang.AssertionError
336,"CatchClause","java.lang.CloneNotSupportedException",false,"vector vertices normals vector list list clone ","java.util.List java.util.List com.jme3.math.Vector3f com.jme3.effect.shapes.EmitterMeshVertexShape int boolean java.util.ArrayList java.util.ArrayList java.lang.Object ","NULL ","size add clone ","","",java.lang.AssertionError
337,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object ","","","","",java.lang.AssertionError
338,"CatchClause","java.lang.CloneNotSupportedException",false,"point clone ","com.jme3.effect.shapes.EmitterPointShape com.jme3.math.Vector3f java.lang.Object ","","clone ","","",java.lang.AssertionError
339,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object ","","","","",java.lang.AssertionError
340,"IfStatement","null",true,"max min ","com.jme3.math.Vector3f ","NULL ","","","",java.lang.IllegalArgumentException
341,"CatchClause","java.lang.CloneNotSupportedException",false,"len min clone ","com.jme3.effect.shapes.EmitterBoxShape com.jme3.math.Vector3f java.lang.Object ","","clone ","","",java.lang.AssertionError
342,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object ","","","","",java.lang.AssertionError
343,"IfStatement","null",true,"probe ","com.jme3.light.LightProbe boolean ","","isReady ","","",java.lang.UnsupportedOperationException
344,"IfStatement","null",true,"nb mip map length source env map ","int com.jme3.texture.TextureCubeMap com.jme3.texture.Image int boolean ","","getImage hasMipmaps getMipMapSizes ","","java.lang.Exception ",java.lang.IllegalArgumentException
345,"CatchClause","java.lang.Exception",true,"pem out color nb mip map mip level length store face nb samples ","int com.jme3.math.Vector3f com.jme3.texture.TextureCubeMap float com.jme3.environment.util.CubeMapWrapper com.jme3.math.ColorRGBA java.lang.Math void com.jme3.texture.Image com.jme3.environment.util.EnvMapUtils.FixSeamsMethod int ","0.0001f mip maps The input cube map must have at least  ","max getImage set getMipMapSizes progress prefilterEnvMapTexel getVectorFromCubemapFaceTexCoord setPixel setEnd getSampleFromMip getRoughnessFromMip ","","java.lang.IllegalArgumentException ",java.lang.Exception
346,"IfStatement","null",true,"store ","com.jme3.math.Vector3f ","NULL ","","","",java.lang.IllegalArgumentException
347,"IfStatement","null",true,"cube map ","com.jme3.texture.TextureCubeMap java.nio.ByteBuffer com.jme3.texture.Image ","NULL ","getData getImage ","","",java.lang.IllegalStateException
348,"IfStatement","null",false,"mip map raster ","com.jme3.texture.image.MipMapImageRaster ","NULL ","","","",java.lang.IllegalArgumentException
349,"IfStatement","null",false,"mip map raster ","com.jme3.texture.image.MipMapImageRaster ","NULL ","","","",java.lang.IllegalArgumentException
350,"IfStatement","null",false,"mip map raster ","com.jme3.texture.image.MipMapImageRaster ","NULL ","","","",java.lang.IllegalArgumentException
351,"IfStatement","null",false,"mip map raster ","com.jme3.texture.image.MipMapImageRaster ","NULL ","","","",java.lang.IllegalArgumentException
352,"IfStatement","null",true,"max mip map nb mip maps ","int ","","","","",java.lang.IllegalArgumentException
353,"CatchClause","java.lang.IllegalAccessException",true,"declaring class clazz field ","java.lang.reflect.Field java.lang.Class java.lang.Class com.jme3.export.Savable java.lang.Class int ","NULL SAVABLE_VERSION ","getInt getField getDeclaringClass ","IOException ","java.lang.IllegalArgumentException ",java.io.IOException
354,"CatchClause","java.lang.IllegalArgumentException",true,"declaring class clazz field ","java.lang.reflect.Field java.lang.Class java.lang.Class com.jme3.export.Savable java.lang.Class int ","NULL SAVABLE_VERSION ","getInt getField getDeclaringClass ","IOException ","java.io.IOException ",java.lang.IllegalArgumentException
355,"IfStatement","null",false,"this class ","java.lang.Class ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
356,"IfStatement","null",true,"format version ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
357,"CatchClause","java.lang.CloneNotSupportedException",false,"kerning result ","com.jme3.font.BitmapCharacter com.jme3.util.IntMap java.lang.Object ","","clone ","","",java.lang.AssertionError
358,"IfStatement","null",true,"rendered size style set ","int com.jme3.font.BitmapCharacterSet ","","","","java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
359,"IfStatement","null",false,"style ","int ","","","","java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
360,"IfStatement","null",false,"old ","com.jme3.util.IntMap ","NULL ","","","java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
361,"IfStatement","null",false,"characters ","com.jme3.util.IntMap int ","","size ","","",java.lang.RuntimeException
362,"IfStatement","null",true,"left block align ","com.jme3.font.BitmapFont.Align com.jme3.font.StringBlock com.jme3.font.Rectangle ","NULL ","getTextBox ","","",java.lang.RuntimeException
363,"IfStatement","null",true,"top block align ","com.jme3.font.BitmapFont.VAlign com.jme3.font.StringBlock com.jme3.font.Rectangle ","NULL ","getTextBox ","","",java.lang.RuntimeException
364,"CatchClause","java.lang.CloneNotSupportedException",false,"color text box clone ","com.jme3.font.StringBlock com.jme3.font.Rectangle com.jme3.math.ColorRGBA java.lang.Object ","NULL ","clone ","","",java.lang.AssertionError
365,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object com.jme3.font.Rectangle ","","","","",java.lang.AssertionError
366,"IfStatement","null",true,"font ","com.jme3.font.BitmapFont ","NULL ","","","java.lang.IllegalStateException ",java.lang.IllegalArgumentException
367,"IfStatement","null",false,"mat ","com.jme3.material.Material ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalStateException
368,"IfStatement","null",true,"mouse keys ","com.jme3.input.MouseInput com.jme3.input.KeyInput ","NULL ","","","",java.lang.IllegalArgumentException
369,"IfStatement","null",false,"events permitted ","boolean ","","","","",java.lang.UnsupportedOperationException
370,"IfStatement","null",false,"events permitted ","boolean ","","","","",java.lang.UnsupportedOperationException
371,"IfStatement","null",false,"events permitted ","boolean ","","","","",java.lang.UnsupportedOperationException
372,"IfStatement","null",false,"events permitted ","boolean ","","","","",java.lang.UnsupportedOperationException
373,"IfStatement","null",false,"mapping ","com.jme3.input.InputManager.Mapping ","NULL ","","","",java.lang.IllegalArgumentException
374,"IfStatement","null",false,"events permitted ","boolean ","","","","",java.lang.UnsupportedOperationException
375,"IfStatement","null",true,"button id ","int ","","getButtonCount ","","",java.lang.IllegalArgumentException
376,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
377,"MethodDeclaration","null",false,"","","","","IOException ","",java.lang.UnsupportedOperationException
378,"IfStatement","null",true,"mouse button ","int ","","","","",java.lang.IllegalArgumentException
379,"IfStatement","null",true,"mouse axis ","int ","","","","",java.lang.IllegalArgumentException
380,"SwitchStatement","null",false,"mouse axis ","int ","","","","",java.lang.AssertionError
381,"IfStatement","null",false,"inited ","boolean ","","","","",java.lang.IllegalStateException
382,"IfStatement","null",false,"inited ","boolean ","","","","",java.lang.IllegalStateException
383,"IfStatement","null",false,"inited ","boolean ","","","","",java.lang.IllegalStateException
384,"IfStatement","null",false,"inited ","boolean ","","","","",java.lang.IllegalStateException
385,"IfStatement","null",false,"inited ","boolean ","","","","",java.lang.IllegalStateException
386,"CatchClause","java.lang.CloneNotSupportedException",false,"color ","com.jme3.light.Light com.jme3.math.ColorRGBA java.lang.Object ","","clone ","","",java.lang.AssertionError
387,"IfStatement","null",false,"packed angle cos ","float ","0.0f ","","","",java.lang.IllegalArgumentException
388,"IfStatement","null",true,"spot range ","float ","","","","",java.lang.IllegalArgumentException
389,"IfStatement","null",true,"spot inner angle half_pi ","float com.jme3.math.FastMath ","","","","",java.lang.IllegalArgumentException
390,"IfStatement","null",true,"half_pi spot outer angle ","float com.jme3.math.FastMath ","","","","",java.lang.IllegalArgumentException
391,"IfStatement","null",true,"radius ","float ","","","","",java.lang.IllegalArgumentException
392,"CatchClause","java.lang.CloneNotSupportedException",false,"owner dist to owner list tlist clone ","com.jme3.light.LightList com.jme3.light.Light float com.jme3.scene.Spatial java.lang.Object ","NULL ","clone ","","",java.lang.AssertionError
393,"CatchClause","java.lang.CloneNotSupportedException",false,"tlist clone ","com.jme3.light.LightList com.jme3.light.Light java.lang.Object ","NULL ","","","",java.lang.AssertionError
394,"IfStatement","null",true,"value ","java.lang.Object com.jme3.texture.Texture ","","","","",java.lang.IllegalArgumentException
395,"IfStatement","null",false,"value ","java.lang.Object com.jme3.math.Quaternion ","","","","",java.lang.UnsupportedOperationException
396,"CatchClause","java.lang.CloneNotSupportedException",false,"param ","com.jme3.material.MatParam java.lang.Object ","","","","",java.lang.AssertionError
397,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object com.jme3.material.RenderState ","","","","",java.lang.AssertionError
398,"IfStatement","null",true,"line width ","float ","","","","",java.lang.IllegalArgumentException
399,"IfStatement","null",false,"define id max_defines ","int com.jme3.shader.DefineList ","","","","",java.lang.IllegalStateException
400,"IfStatement","null",false,"define id max_defines ","int com.jme3.shader.DefineList ","","","","",java.lang.IllegalStateException
401,"IfStatement","null",false,"shader generator ","com.jme3.shader.ShaderGenerator ","NULL ","","","",java.lang.UnsupportedOperationException
402,"IfStatement","null",true,"def ","com.jme3.material.MaterialDef ","NULL ","","","",java.lang.NullPointerException
403,"CatchClause","java.lang.CloneNotSupportedException",false,"additional state mat entry techniques param values technique sorting id ","com.jme3.material.Material int com.jme3.util.ListMap java.util.Map.Entry com.jme3.material.RenderState com.jme3.material.MatParam java.lang.String com.jme3.material.Technique java.util.HashMap java.util.Map java.lang.Object ","NULL ","clone getEntry getValue getKey size put ","","",java.lang.AssertionError
404,"IfStatement","null",false,"param def ","com.jme3.material.MatParam ","NULL ","","","",java.lang.IllegalArgumentException
405,"IfStatement","null",true,"value ","com.jme3.texture.Texture ","NULL ","","","",java.lang.IllegalArgumentException
406,"SwitchStatement","null",true,"value ","com.jme3.texture.Texture com.jme3.texture.Texture.Type ","","getType ","","",java.lang.UnsupportedOperationException
407,"IfStatement","null",false,"tech defs ","java.util.List boolean ","NULL ","isEmpty ","","java.lang.UnsupportedOperationException ",java.lang.IllegalArgumentException
408,"IfStatement","null",false,"tech ","com.jme3.material.Technique ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.UnsupportedOperationException
409,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
410,"SwitchStatement","null",false,"","com.jme3.light.Light com.jme3.light.Light.Type ","","getType ","","",java.lang.UnsupportedOperationException
411,"SwitchStatement","null",false,"","com.jme3.light.Light com.jme3.light.Light.Type ","","getType ","","",java.lang.UnsupportedOperationException
412,"SwitchStatement","null",false,"","com.jme3.light.Light com.jme3.light.Light.Type ","","getType ","","",java.lang.UnsupportedOperationException
413,"IfStatement","null",true,"flt ","float boolean java.lang.Float ","","isNaN ","","",java.lang.UnsupportedOperationException
414,"CatchClause","java.lang.CloneNotSupportedException",false,"origin segment direction ","com.jme3.math.Vector3f com.jme3.math.LineSegment java.lang.Object ","","clone ","","",java.lang.AssertionError
415,"CatchClause","java.lang.CloneNotSupportedException",false,"","com.jme3.math.Vector3f com.jme3.math.Rectangle java.lang.Object ","","clone ","","",java.lang.AssertionError
416,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object com.jme3.math.Vector4f ","","","","",java.lang.AssertionError
417,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalArgumentException
418,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalArgumentException
419,"CatchClause","java.lang.CloneNotSupportedException",false,"origin direction ","com.jme3.math.Vector3f com.jme3.math.Ray java.lang.Object ","","clone ","","",java.lang.AssertionError
420,"IfStatement","null",true,"spline type nurb ","com.jme3.math.Spline.SplineType ","","","","",java.lang.IllegalArgumentException
421,"IfStatement","null",true,"spline type nurb ","com.jme3.math.Spline.SplineType ","","","","",java.lang.IllegalArgumentException
422,"IfStatement","null",true,"nurb knots ","int java.util.List java.lang.Float ","","get ","","",java.lang.IllegalArgumentException
423,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object com.jme3.math.Vector3f ","","","","",java.lang.AssertionError
424,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalArgumentException
425,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalArgumentException
426,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalArgumentException
427,"SwitchStatement","null",true,"","int ","","","","",java.lang.IllegalArgumentException
428,"SwitchStatement","null",true,"","int ","","","","",java.lang.IllegalArgumentException
429,"SwitchStatement","null",true,"","int ","","","","",java.lang.IllegalArgumentException
430,"SwitchStatement","null",true,"","int ","","","","",java.lang.IllegalArgumentException
431,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalArgumentException
432,"IfStatement","null",true,"matrix length ","int float ","","","","",java.lang.IllegalArgumentException
433,"IfStatement","null",true,"matrix length ","int float ","","","","",java.lang.IllegalArgumentException
434,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object com.jme3.math.Matrix3f ","","","","",java.lang.AssertionError
435,"IfStatement","null",true,"matrix length ","int float ","","","","",java.lang.IllegalArgumentException
436,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalArgumentException
