@relation "commons-io"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalArgumentException,java.io.EOFException,java.io.IOException,java.lang.IllegalStateException,java.lang.NullPointerException,java.lang.UnsupportedOperationException,java.io.UnsupportedEncodingException,org.apache.commons.io.input.XmlStreamReaderException,org.apache.commons.io.input.compatibility.XmlStreamReaderException}

@data
212,"IfStatement","null",true,"xml guess enc bom enc ","java.lang.String boolean ","NULL ","equals ","IOException ","org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException ",org.apache.commons.io.input.XmlStreamReaderException
213,"IfStatement","null",true,"xml enc utf_32 bom enc ","java.lang.String boolean ","NULL ","equals ","IOException ","org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException ",org.apache.commons.io.input.XmlStreamReaderException
214,"MethodDeclaration","null",true,"utf_32be utf_32 xml guess enc bom enc utf_16be utf_8 utf_32le xml enc utf_16 utf_16le ","java.lang.String boolean ","NULL ","equals ","IOException ","org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException ",org.apache.commons.io.input.XmlStreamReaderException
215,"IfStatement","null",false,"text xml app xml ","boolean ","","","IOException ","org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException ",org.apache.commons.io.input.XmlStreamReaderException
216,"IfStatement","null",true,"bom enc ","java.lang.String ","NULL ","","IOException ","org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException ",org.apache.commons.io.input.XmlStreamReaderException
217,"IfStatement","null",false,"utf_16 c t enc ","java.lang.String boolean ","","equals ","IOException ","org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException ",org.apache.commons.io.input.XmlStreamReaderException
218,"IfStatement","null",true,"bom enc ","java.lang.String ","NULL ","","IOException ","org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException ",org.apache.commons.io.input.XmlStreamReaderException
219,"IfStatement","null",false,"utf_32 c t enc ","java.lang.String boolean ","","equals ","IOException ","org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException ",org.apache.commons.io.input.XmlStreamReaderException
220,"IfStatement","null",false,"","int ","","","IOException ","java.io.IOException ",java.io.IOException
221,"IfStatement","null",false,"first g t ","int ","","","IOException ","java.io.IOException ",java.io.IOException
222,"IfStatement","null",true,"max bytes per char buffer size ","int float ","","","","",java.lang.IllegalArgumentException
223,"IfStatement","null",true,"","byte ","NULL ","","IOException ","java.lang.IndexOutOfBoundsException ",java.lang.NullPointerException
224,"IfStatement","null",false,"cbuf mark_cbuf ","int java.nio.CharBuffer ","","position ","IOException ","",java.lang.IllegalStateException
225,"IfStatement","null",true,"","byte ","NULL ","","IOException ","java.lang.IndexOutOfBoundsException ",java.lang.NullPointerException
226,"IfStatement","null",true,"length p buffer buffer size ","int byte ","","","IOException ","",java.lang.IllegalArgumentException
227,"IfStatement","null",true,"length p buffer buffer size ","int byte ","","","IOException ","",java.lang.IllegalArgumentException
228,"IfStatement","null",false,"current number of bytes ","int ","","","","",java.lang.IllegalStateException
229,"IfStatement","null",true,"p offset length p buffer ","int byte ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalStateException ",java.lang.IllegalArgumentException
230,"IfStatement","null",true,"buffer p length length ","int byte ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalStateException ",java.lang.IllegalArgumentException
231,"IfStatement","null",true,"p length p offset length p buffer ","int byte ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalStateException ",java.lang.IllegalArgumentException
232,"IfStatement","null",true,"p length current number of bytes ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalStateException
233,"IfStatement","null",false,"buffer length current number of bytes ","int byte ","","","","",java.lang.IllegalStateException
234,"IfStatement","null",true,"p offset length p buffer ","int byte ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
235,"IfStatement","null",true,"buffer p length length ","int byte ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
236,"IfStatement","null",true,"p offset length p buffer ","int byte ","","","","java.lang.IllegalArgumentException java.lang.IllegalStateException ",java.lang.IllegalArgumentException
237,"IfStatement","null",true,"p length ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalStateException ",java.lang.IllegalArgumentException
238,"IfStatement","null",true,"buffer p length length current number of bytes ","int byte ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalStateException
239,"IfStatement","null",true,"p buffer size ","int ","","","","",java.lang.IllegalArgumentException
240,"IfStatement","null",true,"p offset ","int ","","","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
241,"IfStatement","null",true,"p length ","int ","","","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
242,"IfStatement","null",true,"file ","java.io.File ","NULL ","","","",java.lang.IllegalArgumentException
243,"IfStatement","null",false,"running ","boolean ","","","Exception ","",java.lang.IllegalStateException
244,"IfStatement","null",false,"running ","boolean ","","","Exception ","",java.lang.IllegalStateException
245,"IfStatement","null",true,"root entry ","org.apache.commons.io.monitor.FileEntry ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
246,"IfStatement","null",true,"root entry ","org.apache.commons.io.monitor.FileEntry java.io.File ","NULL ","getFile ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
247,"IfStatement","null",true,"chunk size ","int ","","","","",java.lang.IllegalArgumentException
248,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
249,"IfStatement","null",false,"coder result ","java.nio.charset.CoderResult boolean ","","isUnderflow ","IOException ","",java.io.IOException
250,"CatchClause","java.lang.IllegalArgumentException",false,"len cb2 bb2 charset decoder2 ","int java.nio.ByteBuffer java.nio.CharBuffer java.nio.charset.CharsetDecoder java.nio.charset.CoderResult ","","decode ","","java.lang.UnsupportedOperationException ",java.lang.UnsupportedOperationException
251,"IfStatement","null",false,"cb2 test_string_2 ","java.lang.String java.nio.CharBuffer boolean ","","equals toString ","","java.lang.UnsupportedOperationException ",java.lang.UnsupportedOperationException
252,"IfStatement","null",true,"size ","int ","","","","",java.lang.IllegalArgumentException
253,"IfStatement","null",true,"chunk size ","int ","","","","",java.lang.IllegalArgumentException
254,"IfStatement","null",true,"file ","java.io.File ","NULL ","","IOException ","java.lang.NullPointerException java.lang.Exception ",java.lang.NullPointerException
255,"IfStatement","null",true,"encoding ","java.lang.Object ","NULL ","","IOException ","java.lang.NullPointerException java.lang.Exception ",java.lang.NullPointerException
256,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
257,"IfStatement","null",true,"file ","java.io.File boolean ","","isDirectory ","IOException ","",java.io.IOException
258,"IfStatement","null",true,"lock dir ","java.io.File boolean ","","exists ","IOException ","java.io.IOException ",java.io.IOException
259,"IfStatement","null",true,"lock dir ","java.io.File boolean ","","canWrite ","IOException ","java.io.IOException ",java.io.IOException
260,"IfStatement","null",false,"lock file ","java.io.File boolean ","","createNewFile ","IOException ","",java.io.IOException
261,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
262,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
263,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
264,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
265,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
266,"IfStatement","null",true,"initial buffer size ","int ","","","","",java.lang.IllegalArgumentException
267,"IfStatement","null",true,"prefix ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
268,"IfStatement","null",true,"prefix ","java.lang.String ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
269,"IfStatement","null",true,"initial buffer size ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
270,"CatchClause","java.io.IOException",false,"fos memory output stream ","org.apache.commons.io.output.ByteArrayOutputStream java.io.FileOutputStream void ","","writeTo ","IOException ","",java.io.IOException
271,"IfStatement","null",false,"closed ","boolean ","","","IOException ","",java.io.IOException
272,"IfStatement","null",true,"pattern ","java.util.regex.Pattern ","NULL ","","","",java.lang.IllegalArgumentException
273,"IfStatement","null",false,"test file1 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
274,"IfStatement","null",false,"test file2 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
275,"IfStatement","null",false,"test file1 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
276,"IfStatement","null",false,"test file2 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
277,"IfStatement","null",false,"non empty file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
278,"IfStatement","null",false,"old file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
279,"IfStatement","null",false,"reference ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
280,"IfStatement","null",false,"new file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
281,"IfStatement","null",false,"large file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
282,"IfStatement","null",false,"test file1 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
283,"IfStatement","null",false,"test file2 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
284,"IfStatement","null",false,"test file1 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
285,"IfStatement","null",false,"test file2 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
286,"IfStatement","null",false,"test file1 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
287,"IfStatement","null",false,"test file2 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
288,"IfStatement","null",false,"the file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
289,"IfStatement","null",false,"some file ","java.io.File boolean ","","getParentFile exists ","IOException ","",java.io.IOException
290,"IfStatement","null",false,"the file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
291,"IfStatement","null",false,"some file ","java.io.File boolean ","","getParentFile exists ","IOException ","",java.io.IOException
292,"IfStatement","null",false,"test file ","java.io.File boolean ","","getParentFile exists ","IOException ","",java.io.IOException
293,"IfStatement","null",false,"test file ","java.io.File boolean ","","getParentFile exists ","IOException ","",java.io.IOException
294,"IfStatement","null",false,"test source file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
295,"IfStatement","null",false,"test dest file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
296,"IfStatement","null",false,"test file1 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
297,"IfStatement","null",false,"test file2 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
298,"IfStatement","null",false,"test file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
299,"IfStatement","null",false,"test file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
300,"IfStatement","null",false,"test file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
301,"IfStatement","null",false,"test file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
302,"IfStatement","null",false,"test file1 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
303,"IfStatement","null",false,"test file2 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
304,"IfStatement","null",false,"test file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
305,"IfStatement","null",false,"sub file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
306,"IfStatement","null",false,"sub file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
307,"IfStatement","null",false,"sub file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
308,"IfStatement","null",false,"test file1 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
309,"IfStatement","null",false,"test file2 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
310,"IfStatement","null",false,"test file1 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
311,"IfStatement","null",false,"test file2 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
312,"IfStatement","null",false,"test file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
313,"IfStatement","null",false,"test file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
314,"IfStatement","null",false,"the instance ","org.apache.commons.io.FileCleaningTracker int ","","getTrackCount ","Exception ","",java.lang.IllegalStateException
315,"IfStatement","null",false,"m_test file1 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
316,"IfStatement","null",false,"m_test file2 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
317,"IfStatement","null",false,"m_test file1 ","java.io.File boolean ","","exists ","","",java.lang.IllegalStateException
318,"IfStatement","null",false,"imaginary file ","java.io.File boolean ","","exists ","","",java.lang.IllegalStateException
319,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
320,"IfStatement","null",false,"m_test file ","java.io.File boolean ","","getParentFile exists ","","java.lang.RuntimeException ",java.io.IOException
321,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
322,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
323,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
324,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
325,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
326,"IfStatement","null",false,"smaller file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
327,"IfStatement","null",false,"equal file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
328,"IfStatement","null",false,"larger file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
329,"IfStatement","null",false,"less file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
330,"IfStatement","null",false,"equal file1 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
331,"IfStatement","null",false,"equal file2 ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
332,"IfStatement","null",false,"more file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
333,"IfStatement","null",false,"older file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
334,"IfStatement","null",false,"equal file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
335,"IfStatement","null",false,"newer file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
336,"IfStatement","null",false,"file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
337,"IfStatement","null",false,"file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
338,"IfStatement","null",false,"file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
339,"IfStatement","null",false,"file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
340,"IfStatement","null",false,"file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
341,"IfStatement","null",false,"file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
342,"IfStatement","null",false,"old file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
343,"IfStatement","null",false,"reference ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
344,"IfStatement","null",false,"new file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException java.io.IOException ",java.io.IOException
345,"IfStatement","null",false,"small file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
346,"IfStatement","null",false,"large file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
347,"IfStatement","null",false,"read only file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
348,"IfStatement","null",false,"read only file ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
349,"IfStatement","null",false,"empty file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
350,"IfStatement","null",false,"not empty file ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
351,"IfStatement","null",false,"file a ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
352,"IfStatement","null",false,"file b ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
353,"IfStatement","null",false,"file a ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
354,"IfStatement","null",false,"file b ","java.io.File boolean ","","getParentFile exists ","Exception ","java.io.IOException ",java.io.IOException
355,"IfStatement","null",false,"random file b ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
356,"IfStatement","null",false,"random file b ","java.io.File boolean ","","getParentFile exists ","Exception ","",java.io.IOException
357,"IfStatement","null",true,"file ","java.io.File boolean ","","getParentFile exists ","IOException ","",java.io.IOException
358,"IfStatement","null",false,"res ","int ","","","Exception ","java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
359,"IfStatement","null",false,"res input buffer offset ","int byte ","","","Exception ","java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
360,"IfStatement","null",false,"res ","int ","","","Exception ","java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
361,"IfStatement","null",false,"res ","int ","","","Exception ","java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
362,"IfStatement","null",false,"read buffer input buffer offset ","int byte ","","","Exception ","java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
363,"SwitchStatement","null",false,"rnd ","java.util.Random int ","","nextInt ","Exception ","java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
364,"IfStatement","null",true,"lenient ","boolean ","","","IOException XmlStreamReaderException ","",org.apache.commons.io.input.compatibility.XmlStreamReaderException
365,"IfStatement","null",true,"lenient ","boolean ","","","IOException XmlStreamReaderException ","",org.apache.commons.io.input.compatibility.XmlStreamReaderException
366,"IfStatement","null",true,"utf_8 xml guess enc ","java.lang.String boolean ","NULL ","equals ","IOException ","org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException ",org.apache.commons.io.input.compatibility.XmlStreamReaderException
367,"IfStatement","null",true,"utf_8 xml enc ","java.lang.String boolean ","NULL ","equals ","IOException ","org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException ",org.apache.commons.io.input.compatibility.XmlStreamReaderException
368,"IfStatement","null",true,"xml guess enc bom enc ","java.lang.String boolean ","NULL ","equals ","IOException ","org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException ",org.apache.commons.io.input.compatibility.XmlStreamReaderException
369,"IfStatement","null",true,"xml enc utf_16 bom enc ","java.lang.String boolean ","NULL ","equals ","IOException ","org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException ",org.apache.commons.io.input.compatibility.XmlStreamReaderException
370,"IfStatement","null",true,"xml guess enc bom enc ","java.lang.String boolean ","NULL ","equals ","IOException ","org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException ",org.apache.commons.io.input.compatibility.XmlStreamReaderException
371,"IfStatement","null",true,"xml enc utf_32 bom enc ","java.lang.String boolean ","NULL ","equals ","IOException ","org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException ",org.apache.commons.io.input.compatibility.XmlStreamReaderException
372,"IfStatement","null",true,"utf_32le utf_32be bom enc ","java.lang.String boolean ","","equals ","IOException ","org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException ",org.apache.commons.io.input.compatibility.XmlStreamReaderException
373,"IfStatement","null",true,"utf_16le utf_16be c t enc bom enc ","java.lang.String boolean ","NULL ","equals ","IOException ","org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException ",org.apache.commons.io.input.compatibility.XmlStreamReaderException
374,"IfStatement","null",true,"utf_16 bom enc ","java.lang.String boolean ","NULL ","startsWith ","IOException ","org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException ",org.apache.commons.io.input.compatibility.XmlStreamReaderException
375,"IfStatement","null",true,"utf_32le utf_32be c t enc bom enc ","java.lang.String boolean ","NULL ","equals ","IOException ","org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException ",org.apache.commons.io.input.compatibility.XmlStreamReaderException
376,"IfStatement","null",true,"utf_32 bom enc ","java.lang.String boolean ","NULL ","startsWith ","IOException ","org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException ",org.apache.commons.io.input.compatibility.XmlStreamReaderException
377,"IfStatement","null",false,"text xml app xml ","boolean ","","","IOException ","org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException org.apache.commons.io.input.compatibility.XmlStreamReaderException ",org.apache.commons.io.input.compatibility.XmlStreamReaderException
378,"IfStatement","null",false,"","int ","","","IOException ","java.io.IOException ",java.io.IOException
379,"IfStatement","null",false,"","int ","","","IOException ","java.io.IOException ",java.io.IOException
380,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.UnsupportedEncodingException
381,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.UnsupportedEncodingException
382,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.UnsupportedEncodingException
383,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.UnsupportedEncodingException
384,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.UnsupportedEncodingException
385,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.UnsupportedEncodingException
386,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.UnsupportedEncodingException
387,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.UnsupportedEncodingException
388,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.UnsupportedEncodingException
389,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.UnsupportedEncodingException
390,"IfStatement","null",true,"data length count ","int byte ","","","","",java.lang.IllegalArgumentException
391,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
392,"IfStatement","null",true,"file ","java.io.File boolean ","","getParentFile exists ","IOException ","",java.io.IOException
