@relation "lucene"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.RuntimeException,java.lang.IllegalArgumentException,java.lang.Error,java.io.IOException,java.lang.AssertionError,java.lang.IllegalStateException,java.text.ParseException,java.lang.UnsupportedOperationException,java.lang.NullPointerException,java.lang.Throwable,java.io.EOFException,java.io.FileNotFoundException,java.lang.Exception,org.apache.lucene.util.ThreadInterruptedException,org.apache.lucene.index.CorruptIndexException,java.lang.IndexOutOfBoundsException,org.apache.lucene.store.AlreadyClosedException,java.util.NoSuchElementException,java.io.UncheckedIOException,NULL,java.nio.file.NoSuchFileException,java.lang.NumberFormatException,org.antlr.v4.runtime.FailedPredicateException,org.apache.lucene.queryparser.classic.ParseException,org.apache.lucene.queryparser.flexible.standard.parser.ParseException,org.apache.lucene.queryparser.surround.parser.ParseException,org.apache.lucene.queryparser.xml.ParserException,junit.framework.AssertionFailedError,org.apache.tools.ant.BuildException}

@data
513,"CatchClause","java.lang.Throwable",false,"char filter factories arg value sval token filter factories nval trailing_dot_zero_pattern latest parenthetical tokenizer factory base dir tt_word ","java.io.StreamTokenizer java.lang.String int boolean org.apache.lucene.analysis.util.AbstractAnalysisFactory java.nio.file.Path java.util.Map java.lang.RuntimeException java.lang.Class java.lang.Class java.lang.Exception ","Line # luceneMatchVersion : Unexpected token ' : Unexpected opening parenthesis. : Unexpected closing parenthesis. : Unexpected token:  Unexpected EOF:  work work.dir ","lineno toString get nextToken isAssignableFrom put add getConstructor getSimpleName matcher isDirectory ","","java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
514,"IfStatement","null",true,"params ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
515,"IfStatement","null",false,"locale ","java.util.Locale ","NULL ","","Exception ","java.lang.RuntimeException ",java.lang.RuntimeException
516,"CatchClause","java.lang.Exception",false,"locale impl out analyzer ","java.util.Locale org.apache.lucene.analysis.Analyzer org.apache.lucene.benchmark.byTask.tasks.NewCollationAnalyzerTask.Implementation void java.io.PrintStream org.apache.lucene.benchmark.byTask.PerfRunData java.lang.System java.lang.Class java.lang.String java.lang.RuntimeException ","Locale must be set with the NewLocale task! Changed Analyzer to:  NULL ","getRunData getClass println getName createAnalyzer getLocale setAnalyzer ","Exception ","java.lang.RuntimeException ",java.lang.RuntimeException
517,"IfStatement","null",false,"value ","java.lang.String boolean ","jdk ","equalsIgnoreCase ","","java.lang.RuntimeException ",java.lang.RuntimeException
518,"IfStatement","null",false,"key ","java.lang.String boolean ","impl ","equals ","","java.lang.RuntimeException ",java.lang.RuntimeException
519,"IfStatement","null",false,"doc i d ","java.lang.String ","NULL ","","Exception ","",java.lang.IllegalStateException
520,"CatchClause","java.lang.CloneNotSupportedException",false,"stat2 stat1 ","org.apache.lucene.benchmark.byTask.stats.TaskStats ","","clone ","","",java.lang.RuntimeException
521,"IfStatement","null",false,"taxonomy writer ","org.apache.lucene.facet.taxonomy.TaxonomyWriter ","NULL ","","Exception ","",java.lang.IllegalStateException
522,"CatchClause","java.lang.CloneNotSupportedException",false,"stat2 stat1 ","org.apache.lucene.benchmark.byTask.stats.TaskStats ","","clone ","","",java.lang.RuntimeException
523,"IfStatement","null",false,"input dir prop ","java.lang.String ","NULL ","","Exception ","",java.lang.IllegalArgumentException
524,"CatchClause","org.apache.commons.compress.compressors.CompressorException",true,"csf type ","java.lang.String java.io.InputStream org.apache.commons.compress.compressors.CompressorInputStream org.apache.commons.compress.compressors.CompressorStreamFactory ","NULL ","createCompressorInputStream ","IOException ","",java.io.IOException
525,"CatchClause","org.apache.commons.compress.compressors.CompressorException",true,"csf type ","java.lang.String java.io.OutputStream org.apache.commons.compress.compressors.CompressorOutputStream org.apache.commons.compress.compressors.CompressorStreamFactory ","NULL ","createCompressorOutputStream ","IOException ","",java.io.IOException
526,"IfStatement","null",false,"prefix ","java.lang.String int ","NULL ","length ","Exception ","java.lang.RuntimeException java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception ",java.lang.Exception
527,"SwitchStatement","null",false,"ttype stok ","int java.io.StreamTokenizer ","","","Exception ","java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception ",java.lang.RuntimeException
528,"IfStatement","null",false,"colon ok ","boolean ","","","Exception ","java.lang.Exception java.lang.RuntimeException java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception ",java.lang.Exception
529,"IfStatement","null",false,"tt_number ttype stok ","int java.io.StreamTokenizer ","","","Exception ","java.lang.Exception java.lang.RuntimeException java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception ",java.lang.Exception
530,"IfStatement","null",false,"tt_number ttype stok ","int java.io.StreamTokenizer ","","","Exception ","java.lang.Exception java.lang.RuntimeException java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception ",java.lang.Exception
531,"IfStatement","null",false,"tt_word ttype stok ","int java.io.StreamTokenizer ","","","Exception ","java.lang.Exception java.lang.RuntimeException java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception ",java.lang.Exception
532,"IfStatement","null",false,"unit ","java.lang.String boolean ","sec ","equals ","Exception ","java.lang.Exception java.lang.RuntimeException java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception ",java.lang.Exception
533,"IfStatement","null",false,"name ttype stok ","java.lang.String int java.io.StreamTokenizer ","NULL ","length ","Exception ","java.lang.Exception java.lang.RuntimeException java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception ",java.lang.Exception
534,"IfStatement","null",false,"curr sequence ","org.apache.lucene.benchmark.byTask.tasks.TaskSequence boolean ","","isParallel ","Exception ","java.lang.Exception java.lang.RuntimeException java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception ",java.lang.Exception
535,"IfStatement","null",false,"prev task ","org.apache.lucene.benchmark.byTask.tasks.PerfTask ","NULL ","","Exception ","java.lang.Exception java.lang.RuntimeException java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception ",java.lang.Exception
536,"IfStatement","null",false,"prev task ","org.apache.lucene.benchmark.byTask.tasks.PerfTask boolean ","","getRunInBackground ","Exception ","java.lang.Exception java.lang.RuntimeException java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception ",java.lang.Exception
537,"IfStatement","null",false,"curr sequence sequence ","org.apache.lucene.benchmark.byTask.tasks.TaskSequence ","","","Exception ","java.lang.Exception java.lang.RuntimeException java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception java.lang.Exception ",java.lang.Exception
538,"IfStatement","null",true,"val by round name ","java.lang.String java.util.HashMap java.lang.Object ","NULL ","get ","Exception ","",java.lang.Exception
539,"IfStatement","null",true,"num points ","double int java.lang.Math ","1E-6 ","abs ","","",java.lang.IllegalArgumentException
540,"IfStatement","null",true,"max_points ","int ","","","","",java.lang.IllegalArgumentException
541,"CatchClause","java.io.IOException",false,"length meta_chars writer output dir extraction_pattern out buffer utf_8 doc number out buffer ","int java.lang.StringBuilder java.lang.String java.util.regex.Matcher java.nio.file.Path java.io.BufferedWriter java.lang.String void java.util.regex.Pattern java.lang.System java.nio.charset.Charset ","NULL 1024 .txt ","append lineSeparator group setLength newBufferedWriter toString matcher find replaceAll readLine indexOf ","","",java.lang.RuntimeException
542,"IfStatement","null",false,"text terms ","org.apache.lucene.index.Terms ","NULL ","","IOException ","java.io.IOException ",java.io.IOException
543,"IfStatement","null",false,"","double ","","","IOException ","java.io.IOException ",java.io.IOException
544,"IfStatement","null",false,"terms ","org.apache.lucene.index.Terms ","NULL ","","IOException ","",java.io.IOException
545,"CatchClause","java.io.IOException",false,"","void ","","reInitCache ","","",java.lang.RuntimeException
546,"CatchClause","java.lang.Exception",false,"string long map correct answer counter a long assigned class start classified correct answers time end seconds ","java.lang.String java.util.Map java.lang.Long long org.apache.lucene.classification.ClassificationResult java.util.Map java.lang.String int java.util.concurrent.TimeUnit java.lang.System ","NULL ","put get currentTimeMillis utf8ToString toString assignClass getAssignedClass binarySearch submit ","IOException ","",java.lang.RuntimeException
547,"CatchClause","java.lang.Exception",true,"test ratio test writer term vectors field names score docs training writer top groups relation group ","int org.apache.lucene.search.grouping.GroupingSearch org.apache.lucene.index.IndexWriter org.apache.lucene.document.FieldType long double org.apache.lucene.document.Document org.apache.lucene.search.grouping.GroupDocs org.apache.lucene.search.IndexSearcher org.apache.lucene.search.grouping.TopGroups void ","","addDocument commit forceMerge createNewDoc setGroupDocsLimit setStoreTermVectors setSortWithinGroup maxDoc setGroupSort setStoreTermVectorPositions setAllGroups ","IOException ","",java.io.IOException
548,"IfStatement","null",false,"max edits min_similarity ","int float ","","","","",java.lang.IllegalArgumentException
549,"IfStatement","null",false,"index interval ","long ","","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
550,"IfStatement","null",false,"num fields ","int ","","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
551,"IfStatement","null",false,"num index terms ","long ","","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
552,"IfStatement","null",false,"index start packed index start ","long ","","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
553,"IfStatement","null",false,"previous ","org.apache.lucene.codecs.blockterms.FixedGapTermsIndexReader.FieldIndexData ","NULL ","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
554,"IfStatement","null",true,"term index interval ","int ","","","IOException ","",java.lang.IllegalArgumentException
555,"CatchClause","java.io.IOException",false,"term offsets ","org.apache.lucene.util.packed.MonotonicBlockPackedWriter void ","","add ","","",java.lang.RuntimeException
556,"IfStatement","null",false,"num fields ","int ","","","IOException ","org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
557,"IfStatement","null",false,"previous ","org.apache.lucene.codecs.blockterms.VariableGapTermsIndexReader.FieldIndexData ","NULL ","","IOException ","org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
558,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
559,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
560,"IfStatement","null",false,"num fields ","int ","","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
561,"IfStatement","null",true,"segment info doc count state ","int org.apache.lucene.index.SegmentReadState org.apache.lucene.index.SegmentInfo ","","maxDoc ","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
562,"IfStatement","null",false,"doc count sum doc freq ","int long ","","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
563,"IfStatement","null",false,"sum doc freq sum total term freq ","long ","","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
564,"IfStatement","null",false,"previous ","org.apache.lucene.codecs.blockterms.BlockTermsReader.FieldReader ","NULL ","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
565,"IfStatement","null",false,"index enum ","org.apache.lucene.codecs.blockterms.TermsIndexReaderBase.FieldIndexEnum ","NULL ","","IOException ","",java.lang.IllegalStateException
566,"IfStatement","null",false,"index enum ","org.apache.lucene.codecs.blockterms.TermsIndexReaderBase.FieldIndexEnum ","NULL ","","IOException ","",java.lang.IllegalStateException
567,"IfStatement","null",false,"do ord ","boolean ","","","","",java.lang.UnsupportedOperationException
568,"IfStatement","null",false,"index ","org.apache.lucene.util.fst.FST org.apache.lucene.codecs.blocktreeords.OrdsFieldReader ","NULL ","","IOException ","",java.lang.IllegalStateException
569,"IfStatement","null",false,"index ","org.apache.lucene.util.fst.FST org.apache.lucene.codecs.blocktreeords.OrdsFieldReader ","NULL ","","IOException ","",java.lang.IllegalStateException
570,"IfStatement","null",false,"label term arc is seek frame prefix ","int org.apache.lucene.codecs.blocktreeords.OrdsSegmentTermsEnumFrame boolean org.apache.lucene.util.BytesRefBuilder org.apache.lucene.util.fst.FST.Arc byte ","0xFF ","byteAt ","IOException ","java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
571,"IfStatement","null",false,"output ","org.apache.lucene.codecs.blocktreeords.FSTOrdsOutputs.Output ","NULL ","","IOException ","java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
572,"IfStatement","null",false,"code code orig ","long ","","","IOException ","java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
573,"IfStatement","null",true,"num terms target ord ","long org.apache.lucene.codecs.blocktreeords.OrdsFieldReader ","","","IOException ","",java.lang.IllegalArgumentException
574,"IfStatement","null",false,"version index version ","int ","","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
575,"IfStatement","null",false,"num fields ","int ","","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
576,"IfStatement","null",true,"segment info doc count state ","int org.apache.lucene.index.SegmentReadState org.apache.lucene.index.SegmentInfo ","","maxDoc ","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
577,"IfStatement","null",false,"doc count sum doc freq ","int long ","","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
578,"IfStatement","null",false,"sum doc freq sum total term freq ","long ","","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
579,"IfStatement","null",false,"previous ","org.apache.lucene.codecs.blocktreeords.OrdsFieldReader ","NULL ","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
580,"IfStatement","null",true,"type normal compiled ","org.apache.lucene.util.automaton.CompiledAutomaton.AUTOMATON_TYPE org.apache.lucene.util.automaton.CompiledAutomaton ","","","IOException ","",java.lang.IllegalArgumentException
581,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
582,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
583,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
584,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
585,"IfStatement","null",true,"version version_start ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
586,"IfStatement","null",true,"version version_current ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
587,"IfStatement","null",false,"delegate postings format ","org.apache.lucene.codecs.PostingsFormat ","NULL ","","IOException ","",java.lang.UnsupportedOperationException
588,"IfStatement","null",false,"num terms ","int ","","","IOException ","",java.lang.IllegalArgumentException
589,"IfStatement","null",true,"type normal compiled ","org.apache.lucene.util.automaton.CompiledAutomaton.AUTOMATON_TYPE org.apache.lucene.util.automaton.CompiledAutomaton ","","","","",java.lang.IllegalArgumentException
590,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
591,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
592,"IfStatement","null",false,"count max_sorted_set_ords ","int long org.apache.lucene.codecs.memory.DirectDocValuesFormat ","","","IOException ","",java.lang.IllegalArgumentException
593,"IfStatement","null",false,"max_total_bytes_length total bytes ","int long org.apache.lucene.codecs.memory.DirectDocValuesFormat ","","","IOException ","",java.lang.IllegalArgumentException
594,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
595,"IfStatement","null",true,"doc count info field ","int org.apache.lucene.codecs.memory.FSTTermsReader.TermsReader org.apache.lucene.index.SegmentInfo ","","maxDoc ","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
596,"IfStatement","null",true,"doc count sum doc freq field ","org.apache.lucene.codecs.memory.FSTTermsReader.TermsReader int long ","","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
597,"IfStatement","null",true,"sum doc freq field sum total term freq ","org.apache.lucene.codecs.memory.FSTTermsReader.TermsReader long ","","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
598,"IfStatement","null",true,"previous ","org.apache.lucene.codecs.memory.FSTTermsReader.TermsReader ","NULL ","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
599,"IfStatement","null",true,"type normal compiled ","org.apache.lucene.util.automaton.CompiledAutomaton.AUTOMATON_TYPE org.apache.lucene.util.automaton.CompiledAutomaton ","","","IOException ","",java.lang.IllegalArgumentException
600,"MethodDeclaration","null",false,"","","","","IOException ","",java.lang.UnsupportedOperationException
601,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
602,"IfStatement","null",false,"version version2 ","int ","","","IOException ","",org.apache.lucene.index.CorruptIndexException
603,"IfStatement","null",true,"doc count info field ","int org.apache.lucene.codecs.memory.FSTOrdTermsReader.TermsReader org.apache.lucene.index.SegmentInfo ","","maxDoc ","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
604,"IfStatement","null",true,"doc count sum doc freq field ","org.apache.lucene.codecs.memory.FSTOrdTermsReader.TermsReader int long ","","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
605,"IfStatement","null",true,"sum doc freq field sum total term freq ","org.apache.lucene.codecs.memory.FSTOrdTermsReader.TermsReader long ","","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
606,"IfStatement","null",true,"previous ","org.apache.lucene.codecs.memory.FSTOrdTermsReader.TermsReader ","NULL ","","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException ",org.apache.lucene.index.CorruptIndexException
607,"IfStatement","null",true,"type normal compiled ","org.apache.lucene.util.automaton.CompiledAutomaton.AUTOMATON_TYPE org.apache.lucene.util.automaton.CompiledAutomaton ","","","IOException ","",java.lang.IllegalArgumentException
608,"MethodDeclaration","null",false,"","","","","IOException ","",java.lang.UnsupportedOperationException
609,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
610,"MethodDeclaration","null",false,"","","","","IOException ","",java.lang.UnsupportedOperationException
611,"IfStatement","null",false,"version version2 ","int ","","","IOException ","",org.apache.lucene.index.CorruptIndexException
612,"IfStatement","null",false,"field type sorted_numeric_singleton ","byte int ","","","IOException ","",org.apache.lucene.index.CorruptIndexException
613,"SwitchStatement","null",true,"entry byte width ","byte org.apache.lucene.codecs.memory.DirectDocValuesProducer.NumericEntry ","","","IOException ","",java.lang.AssertionError
614,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
615,"IfStatement","null",true,"max points sort in heap max points in leaf node ","int ","","","IOException ","",java.lang.IllegalArgumentException
616,"IfStatement","null",true,"max_dims num data dims ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
617,"IfStatement","null",true,"num index dims num data dims ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
618,"IfStatement","null",true,"max points in leaf node ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
619,"IfStatement","null",true,"max_array_length max points in leaf node ","int org.apache.lucene.util.ArrayUtil ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
620,"IfStatement","null",true,"max m b sort in heap ","double ","0.0 ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
621,"IfStatement","null",true,"total point count ","long ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
622,"IfStatement","null",true,"length packed value packed bytes length ","int byte ","","","IOException ","java.lang.IllegalStateException ",java.lang.IllegalArgumentException
623,"IfStatement","null",false,"total point count point count ","long ","","","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalStateException
624,"IfStatement","null",false,"point count ","long ","","","IOException ","java.lang.IllegalStateException ",java.lang.IllegalStateException
625,"IfStatement","null",false,"temp input heap point writer ","org.apache.lucene.store.IndexOutput org.apache.lucene.util.bkd.HeapPointWriter ","NULL ","","IOException ","java.lang.IllegalStateException ",java.lang.IllegalStateException
626,"MethodDeclaration","null",false,"","","","","IOException ","",java.lang.IllegalStateException
627,"IfStatement","null",false,"num index dims ","int ","","","","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.UnsupportedOperationException
628,"IfStatement","null",false,"point count ","long ","","","","java.lang.UnsupportedOperationException java.lang.IllegalStateException ",java.lang.IllegalStateException
629,"IfStatement","null",false,"temp input heap point writer ","org.apache.lucene.store.IndexOutput org.apache.lucene.util.bkd.HeapPointWriter ","NULL ","","","java.lang.UnsupportedOperationException java.lang.IllegalStateException ",java.lang.IllegalStateException
630,"IfStatement","null",false,"value count total point count ","long ","","","IOException ","",java.lang.IllegalStateException
631,"IfStatement","null",true,"bytes per dim max_array_length num leaves ","int org.apache.lucene.util.ArrayUtil ","","","","",java.lang.IllegalStateException
632,"IfStatement","null",false,"temp input heap point writer ","org.apache.lucene.store.IndexOutput org.apache.lucene.util.bkd.HeapPointWriter ","NULL ","","IOException ","java.lang.IllegalStateException ",java.lang.IllegalStateException
633,"IfStatement","null",false,"point count ","long ","","","IOException ","java.lang.IllegalStateException ",java.lang.IllegalStateException
634,"MethodDeclaration","null",true,"writer ","org.apache.lucene.util.bkd.PointWriter org.apache.lucene.util.bkd.OfflinePointWriter ","","","IOException ","",java.lang.Error
635,"CatchClause","java.lang.Throwable",true,"reader result ord bit set split dim bytes per dim right count num data dims scratch1 ","org.apache.lucene.util.bkd.PointReader int boolean org.apache.lucene.util.LongBitSet long void byte java.lang.System ","","ord markOrds get next packedValue arraycopy set ","IOException ","",java.lang.Error
636,"CatchClause","java.lang.Throwable",false,"reader has next count writer ","int org.apache.lucene.util.bkd.PointReader boolean org.apache.lucene.util.bkd.PointWriter void long org.apache.lucene.codecs.simpletext.SimpleTextBKDWriter.PathSlice byte ","","append ord docID next packedValue ","IOException ","",java.lang.Error
637,"IfStatement","null",false,"next right count right count ","long ","","","IOException ","java.lang.Error ",java.lang.IllegalStateException
638,"CatchClause","java.lang.Throwable",true,"source right slices left point writer right count right point writer dim ord bit set reader count left slices left count ","long int org.apache.lucene.util.bkd.PointWriter org.apache.lucene.codecs.simpletext.SimpleTextBKDWriter.PathSlice org.apache.lucene.codecs.simpletext.SimpleTextBKDWriter.PathSlice org.apache.lucene.util.bkd.PointReader org.apache.lucene.util.LongBitSet java.lang.IllegalStateException ","wrong number of points in split: expected=  but actual=  in dim  ","split ","IOException ","java.lang.IllegalStateException ",java.lang.Error
639,"IfStatement","null",false,"cmp ","int ","","","","java.lang.AssertionError ",java.lang.AssertionError
640,"IfStatement","null",true,"last doc cmp doc ","int ","","","","java.lang.AssertionError ",java.lang.AssertionError
641,"CatchClause","java.text.ParseException",false,"si_version version length scratch ","org.apache.lucene.util.Version int org.apache.lucene.util.BytesRefBuilder org.apache.lucene.util.BytesRef java.lang.String ","","readString parse ","IOException ","org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException org.apache.lucene.index.CorruptIndexException java.lang.AssertionError ",org.apache.lucene.index.CorruptIndexException
