@relation "pdfbox"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalArgumentException,java.io.IOException,java.lang.IllegalStateException,java.io.EOFException,java.lang.UnsupportedOperationException,java.lang.RuntimeException,org.apache.pdfbox.examples.signature.cert.CertificateVerificationException,java.lang.Exception,org.bouncycastle.cert.ocsp.OCSPException,org.apache.pdfbox.preflight.exception.ValidationException,org.apache.pdfbox.preflight.content.ContentStreamException,org.apache.xmpbox.type.BadFieldValueException,org.apache.xmpbox.xml.XmpParsingException}

@data
175,"CatchClause","java.lang.Exception",true,"adapter application listener class application class mac o s x application osx adapter proxy add listener method ","java.lang.Object java.lang.Class java.lang.reflect.Method java.lang.Class java.lang.Class org.apache.pdfbox.debugger.ui.OSXAdapter java.lang.reflect.Constructor java.lang.ClassLoader java.lang.reflect.Proxy ","NULL addApplicationListener com.apple.eawt.ApplicationListener com.apple.eawt.Application ","forName invoke getDeclaredConstructor newInstance getClassLoader newProxyInstance getDeclaredMethod ","","",java.lang.RuntimeException
176,"CatchClause","java.lang.Exception",true,"event handled set handled method ","java.lang.reflect.Method java.lang.Object boolean java.lang.Boolean java.lang.Class ","setHandled ","valueOf getClass invoke getDeclaredMethod ","","",java.lang.RuntimeException
177,"SwitchStatement","null",true,"selection ","java.lang.String ","","","","",java.lang.IllegalArgumentException
178,"SwitchStatement","null",true,"action command ","java.lang.String ","","","","",java.lang.IllegalArgumentException
179,"IfStatement","null",true,"parent ","java.lang.Object org.apache.pdfbox.cos.COSObject ","","","","",java.lang.IllegalArgumentException
180,"IfStatement","null",true,"parent ","java.lang.Object org.apache.pdfbox.cos.COSObject ","","","","",java.lang.IllegalArgumentException
181,"SwitchStatement","null",true,"selection ","java.lang.String ","","","","",java.lang.IllegalArgumentException
182,"SwitchStatement","null",true,"action command ","java.lang.String ","","","","",java.lang.IllegalArgumentException
183,"CatchClause","org.apache.pdfbox.pdmodel.encryption.InvalidPasswordException",true,"contents summary stripper info pdf document writer reader document summary size ","org.apache.pdfbox.pdmodel.PDDocumentInformation java.lang.String org.apache.lucene.document.Document void java.io.StringWriter org.apache.pdfbox.text.PDFTextStripper int java.io.StringReader org.apache.pdfbox.pdmodel.PDDocument java.util.Calendar java.lang.Math ","NULL CreationDate Subject ModificationDate Keywords contents Author Title summary 500 Producer ","addTextField getCreationDate getAuthor length writeText getKeywords addUnindexedField getDocumentInformation getTitle getTrapped getSubject ","IOException ","",java.io.IOException
184,"IfStatement","null",false,"document ","org.apache.pdfbox.pdmodel.PDDocument int ","","getNumberOfPages ","IOException ","java.io.IOException ",java.io.IOException
185,"IfStatement","null",false,"bookmarks ","org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline.PDDocumentOutline ","NULL ","","IOException ","java.io.IOException ",java.io.IOException
186,"IfStatement","null",false,"document ","org.apache.pdfbox.pdmodel.PDDocument boolean ","","isEncrypted ","IOException ","",java.io.IOException
187,"IfStatement","null",false,"document ","org.apache.pdfbox.pdmodel.PDDocument boolean ","","isEncrypted ","IOException ","java.io.IOException ",java.io.IOException
188,"IfStatement","null",false,"document ","org.apache.pdfbox.pdmodel.PDDocument int ","","getNumberOfPages ","IOException ","java.io.IOException ",java.io.IOException
189,"IfStatement","null",false,"document ","org.apache.pdfbox.pdmodel.PDDocument boolean ","","isEncrypted ","IOException ","",java.io.IOException
190,"IfStatement","null",false,"found ","boolean ","","","IOException ","",java.lang.IllegalArgumentException
191,"IfStatement","null",false,"font ","org.apache.pdfbox.pdmodel.font.PDFont boolean ","","isEmbedded ","IOException TransformerException ","java.lang.IllegalArgumentException ",java.lang.IllegalStateException
192,"CatchClause","org.apache.xmpbox.type.BadFieldValueException",false,"metadata file serializer baos doc xmp ","org.apache.pdfbox.pdmodel.common.PDMetadata java.io.ByteArrayOutputStream org.apache.xmpbox.schema.PDFAIdentificationSchema org.apache.xmpbox.XMPMetadata org.apache.xmpbox.schema.DublinCoreSchema org.apache.xmpbox.xml.XmpSerializer void org.apache.pdfbox.pdmodel.PDDocument java.lang.String org.apache.pdfbox.pdmodel.PDDocumentCatalog byte ","","setMetadata setConformance setTitle toByteArray createAndAddDublinCoreSchema setPart getDocumentCatalog createAndAddPFAIdentificationSchema serialize importXMPMetadata ","IOException TransformerException ","java.lang.IllegalStateException ",java.lang.IllegalArgumentException
193,"IfStatement","null",false,"document ","org.apache.pdfbox.pdmodel.PDDocument boolean ","","isEncrypted ","IOException ","",java.io.IOException
194,"IfStatement","null",true,"input file ","java.io.File boolean ","NULL ","exists ","IOException ","java.lang.IllegalStateException ",java.io.IOException
195,"IfStatement","null",false,"access permissions ","int ","","","IOException ","java.io.IOException ",java.lang.IllegalStateException
196,"IfStatement","null",false,"signature ","org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature ","NULL ","","","",java.lang.IllegalStateException
197,"IfStatement","null",false,"access permissions ","int ","","","IOException ","",java.lang.IllegalStateException
198,"IfStatement","null",false,"access permissions ","int ","","","IOException ","",java.lang.IllegalStateException
199,"IfStatement","null",true,"input file ","java.io.File boolean ","NULL ","exists ","IOException ","java.lang.IllegalStateException ",java.io.IOException
200,"IfStatement","null",false,"access permissions ","int ","","","IOException ","java.io.IOException ",java.lang.IllegalStateException
201,"IfStatement","null",false,"signature ","org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature ","NULL ","","","",java.lang.IllegalStateException
202,"IfStatement","null",false,"access permissions ","int ","","","IOException ","java.lang.IllegalStateException java.io.IOException ",java.lang.IllegalStateException
203,"IfStatement","null",false,"changed encoded signature ","byte ","NULL ","","IOException ","java.lang.IllegalStateException java.io.IOException ",java.lang.IllegalStateException
204,"CatchClause","java.lang.Exception",true,"output out file changed encoded signature document bytes in file ","byte java.io.FileOutputStream java.io.File void java.nio.file.Files java.nio.file.Path java.lang.IllegalStateException ","No signature NULL ","processRelevantSignatures embedNewSignatureIntoDocument toPath readAllBytes ","IOException ","java.lang.IllegalStateException java.lang.IllegalStateException ",java.io.IOException
205,"IfStatement","null",false,"new encoded length max size ","int byte ","","","IOException CMSException NoSuchAlgorithmException ","",java.io.IOException
206,"IfStatement","null",false,"cert ","java.security.cert.Certificate ","NULL ","","KeyStoreException UnrecoverableKeyException NoSuchAlgorithmException IOException CertificateException ","",java.io.IOException
207,"CatchClause","java.lang.Exception",true,"msg validation tsa url cert gen content sha1 signer private key certificate chain signed data ","org.bouncycastle.cms.CMSSignedData org.bouncycastle.cms.CMSSignedDataGenerator org.bouncycastle.operator.ContentSigner org.apache.pdfbox.examples.signature.ValidationTimeStamp org.apache.pdfbox.examples.signature.CMSProcessableInputStream java.lang.String java.security.cert.X509Certificate java.security.cert.Certificate void java.security.PrivateKey java.io.InputStream ","SHA256WithRSA NULL ","build generate asList addSignerInfoGenerator length addCertificates getEncoded addSignedTimeStamp ","IOException ","",java.io.IOException
208,"IfStatement","null",false,"sub filter ","java.lang.String ","NULL ","","IOException GeneralSecurityException TSPException CertificateVerificationException ","java.io.IOException ",java.io.IOException
209,"CatchClause","java.lang.Exception",false,"file len hash sig length cert stream cert data certs err factory cert range max ","java.io.PrintStream org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature byte org.apache.pdfbox.cos.COSString void int java.lang.System java.lang.String java.security.cert.CertificateFactory java.io.ByteArrayInputStream java.util.Collection ","NULL certs= X.509 Unknown certificate type:  Certificate is self-signed, LOL! Signature found ETSI.CAdES.detached Modified:  Certificate is not self-signed ","println getSignDate getInstance getTime getBytes getDictionaryObject length getName generateCertificates verifyPKCS7 checkContentValueWithFile ","IOException GeneralSecurityException TSPException CertificateVerificationException ","java.io.IOException ",java.io.IOException
210,"IfStatement","null",false,"certificates store ","org.bouncycastle.util.Store boolean java.util.Collection ","NULL ","getMatches isEmpty ","CMSException OperatorCreationException CertificateVerificationException GeneralSecurityException TSPException IOException ","java.io.IOException java.io.IOException ",java.io.IOException
211,"IfStatement","null",false,"signers ","java.util.Collection boolean ","","isEmpty ","CMSException OperatorCreationException CertificateVerificationException GeneralSecurityException TSPException IOException ","java.io.IOException java.io.IOException ",java.io.IOException
212,"IfStatement","null",false,"matches ","java.util.Collection boolean ","","isEmpty ","CMSException OperatorCreationException CertificateVerificationException GeneralSecurityException TSPException IOException ","java.io.IOException java.io.IOException ",java.io.IOException
213,"CatchClause","org.bouncycastle.tsp.TSPException",false,"response request tsa response ","org.bouncycastle.tsp.TimeStampResponse org.bouncycastle.tsp.TimeStampRequest byte void ","","validate ","IOException ","java.io.IOException ",java.io.IOException
214,"IfStatement","null",false,"token ","org.bouncycastle.tsp.TimeStampToken ","NULL ","","IOException ","java.io.IOException ",java.io.IOException
215,"IfStatement","null",false,"crl issuer cert ","java.security.cert.X509Certificate ","NULL ","","CertificateVerificationException RevokedCertificateException ","java.lang.Exception java.lang.Exception org.apache.pdfbox.examples.signature.cert.CertificateVerificationException ",org.apache.pdfbox.examples.signature.cert.CertificateVerificationException
216,"IfStatement","null",false,"first exception ","java.lang.Exception ","NULL ","","CertificateVerificationException RevokedCertificateException ","org.apache.pdfbox.examples.signature.cert.CertificateVerificationException java.lang.Exception org.apache.pdfbox.examples.signature.cert.CertificateVerificationException ",java.lang.Exception
217,"CatchClause","java.lang.Exception",true,"sign date now crl cert possible cert crl distribution points u r l crl distribution points u r ls crl issuer cert merged cert set additional certs ","java.security.cert.X509Certificate java.security.cert.X509CRL java.lang.Exception java.lang.String java.util.Set org.apache.commons.logging.Log java.util.Date void java.util.List javax.security.auth.x500.X500Principal boolean ","NULL Caught  CRL issuer certificate checked successfully Checking distribution point URL:   could not be verified CRL issuer certificate is not identical to cert issuer, check needed Certificate for  not found in certificate chain, so the CRL at  CRL issuer certificate is identical to cert issuer, no extra check needed  downloading CRL, will try next distribution point if available ","getIssuerX500Principal info equals verify downloadCRL downloadExtraCertificates getPublicKey getCrlDistributionPoints verifyCertificate getName checkRevocation ","CertificateVerificationException RevokedCertificateException ","org.apache.pdfbox.examples.signature.cert.CertificateVerificationException java.lang.Exception org.apache.pdfbox.examples.signature.cert.CertificateVerificationException ",java.lang.Exception
218,"CatchClause","java.lang.Exception",true,"sign date now crl cert possible cert crl distribution points u r l crl distribution points u r ls crl issuer cert merged cert set additional certs ","java.security.cert.X509Certificate java.security.cert.X509CRL java.lang.Exception java.lang.String java.util.Set org.apache.commons.logging.Log java.util.Date void java.util.List javax.security.auth.x500.X500Principal boolean ","NULL Caught  CRL issuer certificate checked successfully Checking distribution point URL:   could not be verified CRL issuer certificate is not identical to cert issuer, check needed Certificate for  not found in certificate chain, so the CRL at  CRL issuer certificate is identical to cert issuer, no extra check needed  downloading CRL, will try next distribution point if available ","getIssuerX500Principal info equals verify downloadCRL downloadExtraCertificates getPublicKey getCrlDistributionPoints verifyCertificate getName checkRevocation ","CertificateVerificationException RevokedCertificateException ","org.apache.pdfbox.examples.signature.cert.CertificateVerificationException java.lang.Exception java.lang.Exception ",org.apache.pdfbox.examples.signature.cert.CertificateVerificationException
219,"IfStatement","null",true,"crl u r l ","java.lang.String boolean ","ldap:// ","startsWith ","IOException CertificateException CRLException CertificateVerificationException NamingException ","",org.apache.pdfbox.examples.signature.cert.CertificateVerificationException
220,"IfStatement","null",false,"length val ","byte int ","NULL ","","CertificateException NamingException CRLException CertificateVerificationException ","",org.apache.pdfbox.examples.signature.cert.CertificateVerificationException
221,"IfStatement","null",false,"key hash ","byte ","NULL ","","OCSPException RevokedCertificateException IOException ","org.bouncycastle.cert.ocsp.OCSPException org.bouncycastle.cert.ocsp.OCSPException org.apache.pdfbox.examples.signature.cert.RevokedCertificateException org.bouncycastle.cert.ocsp.OCSPException ",org.bouncycastle.cert.ocsp.OCSPException
222,"IfStatement","null",false,"ocsp responder certificate ","java.security.cert.X509Certificate ","NULL ","","OCSPException RevokedCertificateException IOException ","org.bouncycastle.cert.ocsp.OCSPException org.bouncycastle.cert.ocsp.OCSPException org.apache.pdfbox.examples.signature.cert.RevokedCertificateException org.bouncycastle.cert.ocsp.OCSPException ",org.bouncycastle.cert.ocsp.OCSPException
223,"IfStatement","null",false,"length responses ","org.bouncycastle.cert.ocsp.SingleResp int ","","","OCSPException RevokedCertificateException IOException ","org.bouncycastle.cert.ocsp.OCSPException org.bouncycastle.cert.ocsp.OCSPException org.apache.pdfbox.examples.signature.cert.RevokedCertificateException org.bouncycastle.cert.ocsp.OCSPException ",org.bouncycastle.cert.ocsp.OCSPException
224,"IfStatement","null",false,"good status ","org.bouncycastle.cert.ocsp.CertificateStatus java.lang.Object ","","","OCSPException RevokedCertificateException IOException ","org.bouncycastle.cert.ocsp.OCSPException org.bouncycastle.cert.ocsp.OCSPException org.bouncycastle.cert.ocsp.OCSPException org.apache.pdfbox.examples.signature.cert.RevokedCertificateException ",org.bouncycastle.cert.ocsp.OCSPException
225,"IfStatement","null",false,"this update ","java.util.Date ","NULL ","","OCSPException ","org.bouncycastle.cert.ocsp.OCSPException org.bouncycastle.cert.ocsp.OCSPException org.bouncycastle.cert.ocsp.OCSPException ",org.bouncycastle.cert.ocsp.OCSPException
226,"IfStatement","null",false,"next update ","java.util.Date ","NULL ","","OCSPException ","org.bouncycastle.cert.ocsp.OCSPException org.bouncycastle.cert.ocsp.OCSPException org.bouncycastle.cert.ocsp.OCSPException ",org.bouncycastle.cert.ocsp.OCSPException
227,"IfStatement","null",false,"cur date this update ","java.util.Date int ","","compareTo ","OCSPException ","org.bouncycastle.cert.ocsp.OCSPException org.bouncycastle.cert.ocsp.OCSPException org.bouncycastle.cert.ocsp.OCSPException ",org.bouncycastle.cert.ocsp.OCSPException
228,"IfStatement","null",false,"cur date next update ","java.util.Date int ","","compareTo ","OCSPException ","org.bouncycastle.cert.ocsp.OCSPException org.bouncycastle.cert.ocsp.OCSPException org.bouncycastle.cert.ocsp.OCSPException ",org.bouncycastle.cert.ocsp.OCSPException
229,"IfStatement","null",true,"verifier basic response ","org.bouncycastle.operator.ContentVerifierProvider org.bouncycastle.cert.ocsp.BasicOCSPResp boolean ","","isSignatureValid ","OCSPException IOException ","org.bouncycastle.cert.ocsp.OCSPException ",org.bouncycastle.cert.ocsp.OCSPException
230,"CatchClause","org.bouncycastle.operator.OperatorCreationException",true,"certificate verifier basic response ","org.bouncycastle.operator.ContentVerifierProvider org.bouncycastle.cert.ocsp.BasicOCSPResp java.security.cert.X509Certificate org.bouncycastle.operator.jcajce.JcaContentVerifierProviderBuilder org.apache.pdfbox.pdmodel.encryption.SecurityProvider boolean java.security.Provider org.bouncycastle.cert.ocsp.OCSPException ","OCSP-Signature is not valid! ","setProvider isSignatureValid getProvider build ","OCSPException IOException ","org.bouncycastle.cert.ocsp.OCSPException ",org.bouncycastle.cert.ocsp.OCSPException
231,"IfStatement","null",false,"encoded nonce response nonce string ","org.bouncycastle.asn1.DEROctetString boolean ","","equals ","OCSPException ","",org.bouncycastle.cert.ocsp.OCSPException
232,"IfStatement","null",false,"http connection ","java.net.HttpURLConnection int ","200 ","getResponseCode ","IOException OCSPException ","",java.io.IOException
233,"IfStatement","null",true,"successful resp ","org.bouncycastle.cert.ocsp.OCSPResp int org.bouncycastle.asn1.ocsp.OCSPResponseStatus ","NULL ","getStatus ","OCSPException ","",org.bouncycastle.cert.ocsp.OCSPException
234,"CatchClause","java.security.cert.CertificateEncodingException",false,"cert id issuer certificate certificate to check ","java.security.cert.X509Certificate org.bouncycastle.cert.ocsp.CertificateID java.math.BigInteger org.apache.pdfbox.examples.signature.cert.OcspHelper.SHA1DigestCalculator org.bouncycastle.cert.jcajce.JcaX509CertificateHolder ","","getSerialNumber ","OCSPException IOException ","",java.io.IOException
235,"CatchClause","java.security.NoSuchAlgorithmException",false,"rand ","java.util.Random java.security.SecureRandom ","","getInstanceStrong ","IOException ","",java.io.IOException
236,"IfStatement","null",true,"cert verify self signed cert ","boolean java.security.cert.X509Certificate ","","isSelfSigned ","CertificateVerificationException ","org.apache.pdfbox.examples.signature.cert.CertificateVerificationException org.apache.pdfbox.examples.signature.cert.CertificateVerificationException org.apache.pdfbox.examples.signature.cert.CertificateVerificationException org.apache.pdfbox.examples.signature.cert.CertificateVerificationException ",org.apache.pdfbox.examples.signature.cert.CertificateVerificationException
237,"IfStatement","null",false,"trust anchors ","java.util.Set boolean ","","isEmpty ","CertificateVerificationException ","org.apache.pdfbox.examples.signature.cert.CertificateVerificationException org.apache.pdfbox.examples.signature.cert.CertificateVerificationException org.apache.pdfbox.examples.signature.cert.CertificateVerificationException org.apache.pdfbox.examples.signature.cert.CertificateVerificationException ",org.apache.pdfbox.examples.signature.cert.CertificateVerificationException
238,"CatchClause","java.security.cert.CertPathBuilderException",true,"sign date download size additional cert intermediate certs verified cert chain cert set cert trust anchors additional certs log verify self signed cert ","java.util.Set java.security.cert.X509Certificate java.util.Set boolean int java.security.cert.PKIXCertPathBuilderResult org.apache.commons.logging.Log java.util.Date void java.security.cert.TrustAnchor org.apache.pdfbox.examples.signature.cert.CertificateVerificationException ","Certification chain verified successfully The certificate is self-signed.  downloaded certificate(s) are new CA issuers:  No root certificate in the chain NULL ","size info isSelfSigned add checkRevocations isEmpty downloadExtraCertificates addAll verifyCertificate ","CertificateVerificationException ","org.apache.pdfbox.examples.signature.cert.CertificateVerificationException org.apache.pdfbox.examples.signature.cert.CertificateVerificationException org.apache.pdfbox.examples.signature.cert.CertificateVerificationException org.apache.pdfbox.examples.signature.cert.CertificateVerificationException ",org.apache.pdfbox.examples.signature.cert.CertificateVerificationException
239,"CatchClause","org.apache.pdfbox.examples.signature.cert.CertificateVerificationException",true,"sign date download size additional cert intermediate certs verified cert chain cert set cert trust anchors additional certs log verify self signed cert ","java.util.Set java.security.cert.X509Certificate java.util.Set boolean int java.security.cert.PKIXCertPathBuilderResult org.apache.commons.logging.Log java.util.Date void java.security.cert.TrustAnchor org.apache.pdfbox.examples.signature.cert.CertificateVerificationException ","Certification chain verified successfully The certificate is self-signed.  downloaded certificate(s) are new CA issuers:  No root certificate in the chain NULL ","size info isSelfSigned add checkRevocations isEmpty downloadExtraCertificates addAll verifyCertificate ","CertificateVerificationException ","org.apache.pdfbox.examples.signature.cert.CertificateVerificationException org.apache.pdfbox.examples.signature.cert.CertificateVerificationException org.apache.pdfbox.examples.signature.cert.CertificateVerificationException org.apache.pdfbox.examples.signature.cert.CertificateVerificationException ",org.apache.pdfbox.examples.signature.cert.CertificateVerificationException
240,"CatchClause","java.lang.Exception",true,"sign date download size additional cert intermediate certs verified cert chain cert set cert trust anchors additional certs log verify self signed cert ","java.util.Set java.security.cert.X509Certificate java.util.Set boolean int java.security.cert.PKIXCertPathBuilderResult org.apache.commons.logging.Log java.util.Date void java.security.cert.TrustAnchor org.apache.pdfbox.examples.signature.cert.CertificateVerificationException ","Certification chain verified successfully The certificate is self-signed.  downloaded certificate(s) are new CA issuers:  No root certificate in the chain NULL ","size info isSelfSigned add checkRevocations isEmpty downloadExtraCertificates addAll verifyCertificate ","CertificateVerificationException ","org.apache.pdfbox.examples.signature.cert.CertificateVerificationException org.apache.pdfbox.examples.signature.cert.CertificateVerificationException org.apache.pdfbox.examples.signature.cert.CertificateVerificationException org.apache.pdfbox.examples.signature.cert.CertificateVerificationException ",org.apache.pdfbox.examples.signature.cert.CertificateVerificationException
241,"IfStatement","null",false,"successful ocsp response ","int org.bouncycastle.cert.ocsp.OCSPResp ","","getStatus ","RevokedCertificateException IOException OCSPException CertificateVerificationException ","",org.apache.pdfbox.examples.signature.cert.CertificateVerificationException
242,"CatchClause","org.apache.pdfbox.examples.signature.validation.CertificateProccessingException",true,"document cert info signature filename cert information helper sign date ","org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature java.util.Calendar org.apache.pdfbox.examples.signature.validation.CertInformationCollector.CertSignatureInformation java.lang.String org.apache.pdfbox.pdmodel.PDDocument org.apache.pdfbox.examples.signature.validation.CertInformationCollector org.apache.pdfbox.examples.signature.SigUtils ","NULL ","getLastRelevantSignature getLastCertInfo getSignDate ","IOException ","java.io.IOException ",java.io.IOException
243,"IfStatement","null",false,"cert info ","org.apache.pdfbox.examples.signature.validation.CertInformationCollector.CertSignatureInformation ","NULL ","","IOException ","java.io.IOException ",java.io.IOException
244,"IfStatement","null",false,"element ","org.apache.pdfbox.cos.COSBase ","NULL ","","IOException ","java.io.IOException ",java.io.IOException
245,"CatchClause","java.lang.Exception",true,"result clazz ","java.lang.Class java.lang.reflect.Constructor ","","getDeclaredConstructor newInstance ","IOException ","java.io.IOException ",java.io.IOException
246,"IfStatement","null",false,"is revocation info found ","boolean ","","","IOException ","",java.io.IOException
247,"CatchClause","org.apache.pdfbox.examples.signature.cert.RevokedCertificateException",true,"cert info ","org.apache.pdfbox.examples.signature.validation.CertInformationCollector.CertSignatureInformation void ","","addOcspData ","IOException ","",java.io.IOException
248,"CatchClause","java.lang.Exception",true,"cert info ","org.apache.pdfbox.examples.signature.validation.CertInformationCollector.CertSignatureInformation void ","","addCrlRevocationInfo ","IOException ","",java.io.IOException
249,"CatchClause","java.security.NoSuchAlgorithmException",false,"signature hash crl ","byte java.security.MessageDigest java.security.cert.X509CRL ","SHA-1 ","getInstance getSignature digest ","IOException RevokedCertificateException GeneralSecurityException CertificateVerificationException ","org.apache.pdfbox.examples.signature.cert.CertificateVerificationException ",org.apache.pdfbox.examples.signature.cert.CertificateVerificationException
250,"CatchClause","org.apache.pdfbox.examples.signature.validation.CertificateProccessingException",false,"issuer certificate cert information helper crl cert info ","org.apache.pdfbox.examples.signature.validation.CertInformationCollector.CertSignatureInformation java.security.cert.X509Certificate org.apache.pdfbox.examples.signature.validation.CertInformationCollector ","","getCertInfo ","IOException RevokedCertificateException GeneralSecurityException CertificateVerificationException ","org.apache.pdfbox.examples.signature.cert.CertificateVerificationException ",org.apache.pdfbox.examples.signature.cert.CertificateVerificationException
251,"CatchClause","java.security.cert.CertificateEncodingException",false,"cert cert information helper certs stream ","org.apache.pdfbox.cos.COSStream java.security.cert.X509Certificate org.apache.pdfbox.cos.COSArray org.apache.pdfbox.examples.signature.validation.CertInformationCollector java.util.Set void byte ","","writeDataToStream add getEncoded getCertificateSet ","IOException ","",java.io.IOException
252,"CatchClause","org.bouncycastle.cms.CMSException",false,"root cert info signed data ts seq tsa certs ","org.apache.pdfbox.examples.signature.validation.CertInformationCollector.CertSignatureInformation org.bouncycastle.cms.CMSSignedData org.bouncycastle.asn1.ASN1Object org.bouncycastle.cms.SignerInformation byte ","DER ","processSignerStore getEncoded ","IOException CertificateProccessingException ","",java.io.IOException
253,"IfStatement","null",true,"cert info issuer certificate ","org.apache.pdfbox.examples.signature.validation.CertInformationCollector.CertSignatureInformation java.security.cert.X509Certificate ","NULL ","","IOException CertificateProccessingException ","org.apache.pdfbox.examples.signature.validation.CertificateProccessingException org.apache.pdfbox.examples.signature.validation.CertificateProccessingException ",java.io.IOException
254,"CatchClause","java.lang.Exception",true,"sources pdf document info creator pdf merger cos stream xmp metadata merged p d f output stream subject title log ","java.lang.String org.apache.pdfbox.multipdf.PDFMergerUtility org.apache.pdfbox.pdmodel.common.PDMetadata org.apache.pdfbox.pdmodel.PDDocumentInformation java.io.ByteArrayOutputStream void org.apache.commons.logging.Log java.util.List org.apache.pdfbox.io.MemoryUsageSetting org.apache.pdfbox.cos.COSStream int ","PDF merge successful, size = { } bytes Merging   source documents into one PDF ","info size createPDFDocumentInfo toByteArray setDestinationMetadata setupMainMemoryOnly createXMPMetadata setDestinationDocumentInformation mergeDocuments createPDFMergerUtility ","IOException ","",java.io.IOException
255,"IfStatement","null",false,"","org.apache.pdfbox.pdmodel.encryption.AccessPermission boolean ","","canExtractContent ","IOException ","",java.io.IOException
256,"CatchClause","java.io.IOException",true,"ssl server socket factory server socket server port ","javax.net.ServerSocketFactory java.net.ServerSocket java.net.BindException int boolean javax.net.ssl.SSLServerSocketFactory ","NULL ","getDefault createServerSocket ","","",java.lang.RuntimeException
257,"CatchClause","java.lang.InterruptedException",false,"","void ","5000 ","wait ","","",java.lang.RuntimeException
258,"CatchClause","java.lang.InterruptedException",false,"","void ","5000 ","wait ","","",java.lang.RuntimeException
259,"IfStatement","null",false,"","java.io.IOException java.lang.String boolean ","Socket closed Socket is closed ","getMessage equalsIgnoreCase ","","java.lang.RuntimeException ",java.lang.RuntimeException
260,"IfStatement","null",false,"","java.io.IOException java.net.SocketException ","","","","java.lang.RuntimeException ",java.lang.RuntimeException
261,"IfStatement","null",false,"","java.io.IOException java.lang.String boolean ","socket closed ","getMessage equalsIgnoreCase ","","java.lang.RuntimeException ",java.lang.RuntimeException
262,"IfStatement","null",false,"","java.io.IOException java.net.SocketException ","","","","java.lang.RuntimeException ",java.lang.RuntimeException
263,"IfStatement","null",false,"length parts ","int java.lang.String ","","","","",java.lang.RuntimeException
264,"IfStatement","null",false,"","org.apache.pdfbox.pdmodel.encryption.AccessPermission boolean ","","canPrint ","PrinterException IOException ","",java.io.IOException
265,"IfStatement","null",false,"","org.apache.pdfbox.pdmodel.encryption.AccessPermission boolean ","","canExtractContent ","IOException ","",java.io.IOException
266,"IfStatement","null",true,"always next ","boolean ","","","IOException ","",java.io.IOException
267,"CatchClause","java.io.IOException",false,"result output filename ","java.lang.String org.apache.pdfbox.pdmodel.PDDocument void ","","save ","IOException ","",java.io.IOException
268,"IfStatement","null",false,"content stream ","org.apache.pdfbox.pdmodel.PDPageContentStream ","NULL ","","IOException ","java.io.IOException ",java.io.IOException
269,"CatchClause","java.io.IOException",false,"word1 font size length next line to draw page actual media box line with next word next word line_height_factor content stream ","int java.lang.String float org.apache.pdfbox.pdmodel.PDPageContentStream org.apache.pdfbox.pdmodel.PDPage java.lang.String org.apache.pdfbox.pdmodel.common.PDRectangle boolean void java.lang.StringBuilder org.apache.pdfbox.pdmodel.PDDocument ","NULL Error:Expected non-null content stream. ","getHeight addPage length endText close getMediaBox newLineAtOffset substring indexOf getWidth toString ","IOException ","java.io.IOException ",java.io.IOException
270,"IfStatement","null",false,"rectangle ","org.apache.pdfbox.pdmodel.common.PDRectangle ","NULL ","","IOException ","java.io.IOException ",java.io.IOException
271,"SwitchStatement","null",true,"args ","int java.lang.String ","","","IOException ","java.io.IOException ",java.io.IOException
272,"IfStatement","null",false,"","org.apache.pdfbox.pdmodel.encryption.AccessPermission boolean ","","canExtractContent ","IOException ","",java.io.IOException
273,"IfStatement","null",false,"rectangle ","org.apache.pdfbox.pdmodel.common.PDRectangle ","NULL ","","IOException ","java.io.IOException ",java.io.IOException
274,"SwitchStatement","null",true,"args ","int java.lang.String ","","","IOException ","java.io.IOException ",java.io.IOException
275,"IfStatement","null",false,"","org.apache.pdfbox.pdmodel.encryption.AccessPermission boolean ","","isOwnerPermission ","IOException ","",java.io.IOException
276,"IfStatement","null",false,"out dir ","java.lang.String boolean java.io.File ","","exists ","Exception ","",java.io.IOException
277,"CatchClause","java.lang.Exception",false,"clazz ","java.lang.Class java.lang.reflect.Constructor java.lang.Class ","","getDeclaredConstructor newInstance ","ValidationException ","org.apache.pdfbox.preflight.exception.MissingValidationProcessException ",org.apache.pdfbox.preflight.exception.ValidationException
278,"IfStatement","null",false,"type type ","java.lang.String boolean org.apache.pdfbox.pdmodel.interactive.action.PDAction ","NULL ","equals ","ValidationException ","",org.apache.pdfbox.preflight.exception.ValidationException
